"country","sftgcode","iso3code","year","start","ongoing","ageln","postcw","reg.afr","reg.eap","reg.eur","reg.mna","reg.sca","reg.amr","wdi.popsizeln","wdi.tradeln","xxxcimrln","polcat1","polcat2","polcat3","polcat7","pitfcat1","pitfcat2","pitfcat3","pitfcat4","pitfcat5","pitfcat6","durableln","autocracy","efcat1","efcat2","efcat3","efcat9","ever","ongoing.1","cou.tries5d","regacln","civconln","io.iccpr1","mix.gdppcgrowsr","dispota4ln","elceliti","elcelethc","elceleth1","elceleth2","sftpuhvl2.10ln","coup.p","cwar.p","pitf.p","threat.p","harff.p","rf.p","mean.p","date"
"Bosnia and Herzegovina","BOS","BIH",2014,0,0,3.13549421592915,1,0,0,1,0,0,0,15.1593972931145,4.45799210056646,-1.24806812255182,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1.94591014905531,0,1,-0.836660048780206,0,0,1,1,0,0,0.0105069599457778,0.00555465372274023,0.0126028659167164,0.00147414432273784,0.00953487782235959,0.002,0.00433634071503248,2018-07-06
"Botswana","BOT","BWA",2014,0,0,3.89182029811063,1,1,0,0,0,0,0,14.5106108299988,4.54863728813496,-0.705934472604737,0,0,1,0,0,0,0,1,0,0,3.85014760171006,0,0,1,0,0,0,0,0,1.79175946922805,0,0,2.04418827168548,0,0,0,0,0,0,0.00695305016819432,0.00211433033010051,0.0117098416418714,0.000498341576835698,0.00250579399326973,0,0.00100137852336848,2018-07-06
"Brazil","BRA","BRA",2014,0,0,5.24702407216049,1,0,0,0,0,0,1,19.1070853392876,3.27880166151331,-0.0369080950770485,0,0,1,0,0,0,0,1,0,0,3.3322045101752,0,0,1,0,0,0,0,0,1.6094379124341,0,0,0.934188511840004,0,0,0,0,0,0,0.014354876806709,0.0130009404019888,0.0127465873088454,0.0037037382548298,0.00668204359484303,0,0.00346192728322428,2018-07-06
"Bulgaria","BUL","BGR",2014,0,0,4.91998092582813,1,0,0,1,0,0,0,15.8040192254435,4.91962735161219,-0.275676002613346,0,0,1,0,0,0,0,1,0,0,3.13549421592915,0,0,1,0,0,1,0,0,1.94591014905531,0,1,0.894427190999803,0,0,0,0,0,0,0.00949050372402815,0.00434185651644153,0.0229722191780697,0.00112053843532986,0.00525085016152223,0,0.0021237961989507,2018-07-06
"Burkina Faso","BFO","BFA",2014,0,0,4.00733318523247,1,1,0,0,0,0,0,16.6164523193976,3.9064110550172,1.32366773674238,0,1,0,0,0,1,0,0,0,0,2.484906649788,1,0,0,1,0,0,0,0,2.39789527279837,0,1,3.16766458015728,0,0,0,0,0,0,0.0414383757484762,0.0429496121156773,0.0579632041955573,0.0196907671995199,0.011965226608873,0.011,0.0142186646027976,2018-07-06
"Burundi","BUI","BDI",2014,0,0,3.97029191355212,1,1,0,0,0,0,0,16.1029382558458,3.83770842826997,1.04330682822566,0,0,1,0,0,0,0,1,0,0,2.07944154167984,0,0,1,0,0,1,0,0,2.94443897916644,0,0,2.00483366777305,0,0,0,0,0,2.07944154167984,0.0323879042675467,0.0141089779028707,0.0418224167105213,0.00659282136618628,0.0131706159973783,0,0.00658781245452154,2018-07-06
"Cambodia","CAM","KHM",2014,0,0,4.12713438504509,1,0,1,0,0,0,0,16.5144961998018,4.73252366542116,0.934107536572308,0,1,0,0,0,1,0,0,0,0,2.70805020110221,0,1,0,0,0,1,0,0,2.19722457733622,0,0,2.694684163744,1.38629436111989,0,0,0,0,0,0.0383041551679364,0.0314591843651104,0.095110661150219,0.0144353714132599,0.015757117058208,0.004,0.011397496157156,2018-07-06
"Cameroon","CAO","CMR",2014,0,0,4.00733318523247,1,1,0,0,0,0,0,16.8928058137578,4.11239567996137,1.03297512513282,0,1,0,0,0,1,0,0,0,0,3.04452243772342,1,0,0,1,0,0,0,0,2.39789527279837,0,1,2.13986054800053,3.04452243772342,0,1,0,1,0,0.0307552450603899,0.039996675918677,0.0934308108193998,0.0154374937196607,0.0275961778775518,0.006,0.0163445571990709,2018-07-06
"Canada","CAN","CAN",2014,0,0,4.99721227376411,1,0,0,0,0,0,1,17.3674382337408,4.11674405222938,-1.4773781909365,0,0,1,0,0,0,0,0,1,0,4.8283137373023,0,0,1,0,0,0,0,0,1.94591014905531,0,1,1.30728943087619,0,0,0,0,0,0,0.00246530102529915,0.00366946073590826,0.00133445136851156,0.000417438908817902,0.000777446245512206,0,0.000398295051443369,2018-07-06
"Central African Republic","CEN","CAF",2014,1,1,4.00733318523247,1,1,0,0,0,0,0,15.3251743218948,3.50283387931474,1.52010512640374,0,1,0,0,0,1,0,0,0,0,2.30258509299405,1,0,0,1,0,1,1,0,2.19722457733622,1.09861228866811,1,2.62610603234503,0,0,1,0,1,3.13549421592915,0.0584835276676192,0.0324141147558866,0.067431659990944,0.0192097271101923,0.0391881237666427,0.336,0.131465950292278,2018-07-06
"Chad","CHA","TCD",2014,0,0,4.00733318523247,1,1,0,0,0,0,0,16.3370845837848,4.2276428699672,1.4827803201067,0,1,0,0,0,1,0,0,0,0,3.04452243772342,1,0,0,1,0,1,0,0,1.6094379124341,0,1,2.98036335832651,0,0,0,0,0,2.77258872223978,0.0480283643453336,0.0330977740926418,0.0672889181056419,0.0173203998504939,0.0126492812001361,0.019,0.0163232270168767,2018-07-06
